,azi,ele,basic_metric,distance_metric,total_fail_metric
0,0.0,-45.0,0.9695108812755872,0.7528765352294764,1.0
1,0.0,-30.0,1.0053846153846153,0.8500073260073261,1.0
2,0.0,-15.0,1.0588026556776555,0.8248798076923077,1.0
3,0.0,0.0,1.0288147020594838,0.8660797983378629,1.0
4,0.0,15.0,0.9734709734709734,0.7496356689905077,1.0
5,0.0,30.0,0.9340517325811444,0.7202057746175394,1.0
6,30.0,-45.0,0.9192807192807194,0.6597569097569099,1.0
7,30.0,-30.0,0.9919756169756169,0.6166823916823917,1.0
8,30.0,-15.0,1.0330189418424711,0.7315316970611089,1.0
9,30.0,0.0,1.003595916704436,0.7340070201378517,1.0
10,30.0,15.0,0.9941165420803431,0.7743213705600585,1.0
11,30.0,30.0,0.9726627798820311,0.5950891948218152,1.0
12,60.0,-45.0,-1.0,-1.0,-1.0
13,60.0,-30.0,-1.0,-1.0,-1.0
14,60.0,-15.0,0.75,0.75,1.0
15,60.0,0.0,1.125,1.0,1.0
16,60.0,15.0,-1.0,-1.0,-1.0
17,60.0,30.0,-1.0,-1.0,-1.0
18,90.0,-45.0,-1.0,-1.0,-1.0
19,90.0,-30.0,-1.0,-1.0,-1.0
20,90.0,-15.0,-1.0,-1.0,-1.0
21,90.0,0.0,-1.0,-1.0,-1.0
22,90.0,15.0,-1.0,-1.0,-1.0
23,90.0,30.0,-1.0,-1.0,-1.0
24,120.0,-45.0,-1.0,-1.0,-1.0
25,120.0,-30.0,1.0,0.5333333333333333,1.0
26,120.0,-15.0,-1.0,-1.0,-1.0
27,120.0,0.0,-1.0,-1.0,-1.0
28,120.0,15.0,-1.0,-1.0,-1.0
29,120.0,30.0,1.3333333333333333,0.25,1.0
30,150.0,-45.0,0.7448004201680672,0.1497986694677871,1.0
31,150.0,-30.0,0.5012254901960784,0.15614787581699346,1.0
32,150.0,-15.0,0.4041394335511983,0.11546840958605664,1.0
33,150.0,0.0,0.42265795206971674,0.09694989106753811,1.0
34,150.0,15.0,0.6186002178649238,0.09708605664488017,1.0
35,150.0,30.0,0.5490196078431372,0.1176470588235294,1.0
36,180.0,-45.0,0.4117647058823529,0.17647058823529413,1.0
37,180.0,-30.0,0.33137254901960783,0.10686274509803922,1.0
38,180.0,-15.0,0.4074074074074074,0.16666666666666666,1.0
39,180.0,0.0,0.375,0.20833333333333331,1.0
40,180.0,15.0,0.4444444444444444,0.1388888888888889,1.0
41,180.0,30.0,0.4117647058823529,0.11764705882352941,1.0
42,210.0,-45.0,0.4763412309368191,0.2002314814814815,1.0
43,210.0,-30.0,0.39820261437908494,0.15319405539993772,1.0
44,210.0,-15.0,0.4812622018504372,0.24362957304133773,1.0
45,210.0,0.0,0.628018918868592,0.2700237549910753,1.0
46,210.0,15.0,0.5259259259259259,0.2516402116402116,1.0
47,210.0,30.0,0.563085063085063,0.24938949938949942,1.0
48,240.0,-45.0,0.9772627956838483,0.6877182758761706,1.0
49,240.0,-30.0,0.7614703279176963,0.5359301302412757,1.0
50,240.0,-15.0,0.7572298733013019,0.4985538271252557,1.0
51,240.0,0.0,0.8400774148452167,0.588965420544368,1.0
52,240.0,15.0,0.7028092006033182,0.5689147952628344,1.0
53,240.0,30.0,0.7463471713471713,0.5463471713471714,1.0
54,270.0,-45.0,-1.0,-1.0,-1.0
55,270.0,-30.0,-1.0,-1.0,-1.0
56,270.0,-15.0,-1.0,-1.0,-1.0
57,270.0,0.0,-1.0,-1.0,-1.0
58,270.0,15.0,-1.0,-1.0,-1.0
59,270.0,30.0,-1.0,-1.0,-1.0
60,300.0,-45.0,-1.0,-1.0,-1.0
61,300.0,-30.0,-1.0,-1.0,-1.0
62,300.0,-15.0,-1.0,-1.0,-1.0
63,300.0,0.0,-1.0,-1.0,-1.0
64,300.0,15.0,0.6855332167832168,0.6051136363636364,1.0
65,300.0,30.0,0.928921568627451,0.857843137254902,1.0
66,330.0,-45.0,0.9194139194139194,0.8243300559090033,1.0
67,330.0,-30.0,0.9949050949050949,0.9105827505827507,1.0
68,330.0,-15.0,1.1207738557738556,0.7622568172568173,1.0
69,330.0,0.0,1.0648498685829002,0.8235446680016817,1.0
70,330.0,15.0,1.1077076518252986,0.6867909867909869,1.0
71,330.0,30.0,1.0589141017712447,0.6235877218020075,1.0
